group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Finish,,,,,989669.0,ns,1109
Finish,,,,,1970933.0,ns,2218
Finish,,,,,2980200.0,ns,3327
Finish,,,,,3972654.0,ns,4436
Finish,,,,,4928617.0,ns,5545
Finish,,,,,5932843.0,ns,6654
Finish,,,,,6899401.0,ns,7763
Finish,,,,,7916317.0,ns,8872
Finish,,,,,8901054.0,ns,9981
Finish,,,,,9882243.0,ns,11090
Finish,,,,,10906467.0,ns,12199
Finish,,,,,11867106.0,ns,13308
Finish,,,,,12836518.0,ns,14417
Finish,,,,,13821397.0,ns,15526
Finish,,,,,14832276.0,ns,16635
Finish,,,,,15831663.0,ns,17744
Finish,,,,,16814358.0,ns,18853
Finish,,,,,17782727.0,ns,19962
Finish,,,,,18801664.0,ns,21071
Finish,,,,,19786144.0,ns,22180
Finish,,,,,20821728.0,ns,23289
Finish,,,,,21748960.0,ns,24398
Finish,,,,,22717160.0,ns,25507
Finish,,,,,23691095.0,ns,26616
Finish,,,,,24724005.0,ns,27725
Finish,,,,,25708977.0,ns,28834
Finish,,,,,26667447.0,ns,29943
Finish,,,,,27646893.0,ns,31052
Finish,,,,,28645864.0,ns,32161
Finish,,,,,30114343.0,ns,33270
Finish,,,,,30853809.0,ns,34379
Finish,,,,,32826467.0,ns,35488
Finish,,,,,32621982.0,ns,36597
Finish,,,,,33805714.0,ns,37706
Finish,,,,,34708561.0,ns,38815
Finish,,,,,40384117.0,ns,39924
Finish,,,,,36672717.0,ns,41033
Finish,,,,,37573628.0,ns,42142
Finish,,,,,40361068.0,ns,43251
Finish,,,,,39655839.0,ns,44360
Finish,,,,,40618470.0,ns,45469
Finish,,,,,41592827.0,ns,46578
Finish,,,,,42588373.0,ns,47687
Finish,,,,,43551535.0,ns,48796
Finish,,,,,44381167.0,ns,49905
Finish,,,,,46212677.0,ns,51014
Finish,,,,,46467425.0,ns,52123
Finish,,,,,47612425.0,ns,53232
Finish,,,,,48379418.0,ns,54341
Finish,,,,,49440118.0,ns,55450
Finish,,,,,51331485.0,ns,56559
Finish,,,,,51425068.0,ns,57668
Finish,,,,,52523548.0,ns,58777
Finish,,,,,53497557.0,ns,59886
Finish,,,,,54591900.0,ns,60995
Finish,,,,,56274105.0,ns,62104
Finish,,,,,56466845.0,ns,63213
Finish,,,,,58745709.0,ns,64322
Finish,,,,,58548793.0,ns,65431
Finish,,,,,60598180.0,ns,66540
Finish,,,,,60808138.0,ns,67649
Finish,,,,,71207130.0,ns,68758
Finish,,,,,62329444.0,ns,69867
Finish,,,,,63498350.0,ns,70976
Finish,,,,,64310742.0,ns,72085
Finish,,,,,65822505.0,ns,73194
Finish,,,,,67207241.0,ns,74303
Finish,,,,,68630417.0,ns,75412
Finish,,,,,68323105.0,ns,76521
Finish,,,,,69931829.0,ns,77630
Finish,,,,,70202132.0,ns,78739
Finish,,,,,71412425.0,ns,79848
Finish,,,,,72223878.0,ns,80957
Finish,,,,,74403955.0,ns,82066
Finish,,,,,74216022.0,ns,83175
Finish,,,,,75748791.0,ns,84284
Finish,,,,,76292796.0,ns,85393
Finish,,,,,77358195.0,ns,86502
Finish,,,,,78195292.0,ns,87611
Finish,,,,,79316659.0,ns,88720
Finish,,,,,80162528.0,ns,89829
Finish,,,,,81590774.0,ns,90938
Finish,,,,,83648405.0,ns,92047
Finish,,,,,83434593.0,ns,93156
Finish,,,,,84218851.0,ns,94265
Finish,,,,,85194650.0,ns,95374
Finish,,,,,86052432.0,ns,96483
Finish,,,,,87023822.0,ns,97592
Finish,,,,,88005448.0,ns,98701
Finish,,,,,89052140.0,ns,99810
Finish,,,,,89974644.0,ns,100919
Finish,,,,,91022654.0,ns,102028
Finish,,,,,91950662.0,ns,103137
Finish,,,,,92834305.0,ns,104246
Finish,,,,,93965771.0,ns,105355
Finish,,,,,94902762.0,ns,106464
Finish,,,,,96020153.0,ns,107573
Finish,,,,,96936070.0,ns,108682
Finish,,,,,97837602.0,ns,109791
Finish,,,,,99016468.0,ns,110900
