group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Partial signature creation,,,,,1017846.0,ns,460848
Partial signature creation,,,,,1954938.0,ns,921696
Partial signature creation,,,,,2929948.0,ns,1382544
Partial signature creation,,,,,3895902.0,ns,1843392
Partial signature creation,,,,,4945180.0,ns,2304240
Partial signature creation,,,,,5912429.0,ns,2765088
Partial signature creation,,,,,6847879.0,ns,3225936
Partial signature creation,,,,,7829373.0,ns,3686784
Partial signature creation,,,,,8808197.0,ns,4147632
Partial signature creation,,,,,9856138.0,ns,4608480
Partial signature creation,,,,,10768796.0,ns,5069328
Partial signature creation,,,,,11742077.0,ns,5530176
Partial signature creation,,,,,12762224.0,ns,5991024
Partial signature creation,,,,,13700686.0,ns,6451872
Partial signature creation,,,,,14688570.0,ns,6912720
Partial signature creation,,,,,15760184.0,ns,7373568
Partial signature creation,,,,,16651750.0,ns,7834416
Partial signature creation,,,,,17571925.0,ns,8295264
Partial signature creation,,,,,18565696.0,ns,8756112
Partial signature creation,,,,,19759809.0,ns,9216960
Partial signature creation,,,,,20645131.0,ns,9677808
Partial signature creation,,,,,21802143.0,ns,10138656
Partial signature creation,,,,,22502551.0,ns,10599504
Partial signature creation,,,,,23660368.0,ns,11060352
Partial signature creation,,,,,24580417.0,ns,11521200
Partial signature creation,,,,,25390950.0,ns,11982048
Partial signature creation,,,,,26614621.0,ns,12442896
Partial signature creation,,,,,27412030.0,ns,12903744
Partial signature creation,,,,,28474651.0,ns,13364592
Partial signature creation,,,,,29242120.0,ns,13825440
Partial signature creation,,,,,30476688.0,ns,14286288
Partial signature creation,,,,,31265773.0,ns,14747136
Partial signature creation,,,,,32377301.0,ns,15207984
Partial signature creation,,,,,33347154.0,ns,15668832
Partial signature creation,,,,,34166400.0,ns,16129680
Partial signature creation,,,,,35419943.0,ns,16590528
Partial signature creation,,,,,36197146.0,ns,17051376
Partial signature creation,,,,,37359579.0,ns,17512224
Partial signature creation,,,,,38282377.0,ns,17973072
Partial signature creation,,,,,39175289.0,ns,18433920
Partial signature creation,,,,,40401151.0,ns,18894768
Partial signature creation,,,,,41162241.0,ns,19355616
Partial signature creation,,,,,42343995.0,ns,19816464
Partial signature creation,,,,,43289878.0,ns,20277312
Partial signature creation,,,,,44123906.0,ns,20738160
Partial signature creation,,,,,45115916.0,ns,21199008
Partial signature creation,,,,,46366429.0,ns,21659856
Partial signature creation,,,,,47135525.0,ns,22120704
Partial signature creation,,,,,48071869.0,ns,22581552
Partial signature creation,,,,,48907875.0,ns,23042400
Partial signature creation,,,,,50392339.0,ns,23503248
Partial signature creation,,,,,51307562.0,ns,23964096
Partial signature creation,,,,,51887847.0,ns,24424944
Partial signature creation,,,,,52925008.0,ns,24885792
Partial signature creation,,,,,54015391.0,ns,25346640
Partial signature creation,,,,,54827309.0,ns,25807488
Partial signature creation,,,,,55962424.0,ns,26268336
Partial signature creation,,,,,56953195.0,ns,26729184
Partial signature creation,,,,,57791760.0,ns,27190032
Partial signature creation,,,,,59108776.0,ns,27650880
Partial signature creation,,,,,60095161.0,ns,28111728
Partial signature creation,,,,,60984403.0,ns,28572576
Partial signature creation,,,,,61644015.0,ns,29033424
Partial signature creation,,,,,63211186.0,ns,29494272
Partial signature creation,,,,,64161579.0,ns,29955120
Partial signature creation,,,,,64711697.0,ns,30415968
Partial signature creation,,,,,65504049.0,ns,30876816
Partial signature creation,,,,,66685223.0,ns,31337664
Partial signature creation,,,,,67553466.0,ns,31798512
Partial signature creation,,,,,68815989.0,ns,32259360
Partial signature creation,,,,,69765545.0,ns,32720208
Partial signature creation,,,,,70589247.0,ns,33181056
Partial signature creation,,,,,71661630.0,ns,33641904
Partial signature creation,,,,,72251872.0,ns,34102752
Partial signature creation,,,,,73619165.0,ns,34563600
Partial signature creation,,,,,74540712.0,ns,35024448
Partial signature creation,,,,,75708239.0,ns,35485296
Partial signature creation,,,,,76688719.0,ns,35946144
Partial signature creation,,,,,77270593.0,ns,36406992
Partial signature creation,,,,,78393058.0,ns,36867840
Partial signature creation,,,,,79403411.0,ns,37328688
Partial signature creation,,,,,80697043.0,ns,37789536
Partial signature creation,,,,,81577157.0,ns,38250384
Partial signature creation,,,,,82403851.0,ns,38711232
Partial signature creation,,,,,83487873.0,ns,39172080
Partial signature creation,,,,,85049505.0,ns,39632928
Partial signature creation,,,,,85417422.0,ns,40093776
Partial signature creation,,,,,86580609.0,ns,40554624
Partial signature creation,,,,,87249016.0,ns,41015472
Partial signature creation,,,,,88269343.0,ns,41476320
Partial signature creation,,,,,89294330.0,ns,41937168
Partial signature creation,,,,,90163932.0,ns,42398016
Partial signature creation,,,,,91671605.0,ns,42858864
Partial signature creation,,,,,91957912.0,ns,43319712
Partial signature creation,,,,,93649156.0,ns,43780560
Partial signature creation,,,,,94436085.0,ns,44241408
Partial signature creation,,,,,96228621.0,ns,44702256
Partial signature creation,,,,,96285854.0,ns,45163104
Partial signature creation,,,,,96972800.0,ns,45623952
Partial signature creation,,,,,98475159.0,ns,46084800
