group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Round One,,,,,999944.0,ns,5
Round One,,,,,2005476.0,ns,10
Round One,,,,,3039397.0,ns,15
Round One,,,,,4037260.0,ns,20
Round One,,,,,5005340.0,ns,25
Round One,,,,,6072474.0,ns,30
Round One,,,,,7024693.0,ns,35
Round One,,,,,8020624.0,ns,40
Round One,,,,,9087750.0,ns,45
Round One,,,,,10084365.0,ns,50
Round One,,,,,11049399.0,ns,55
Round One,,,,,12119521.0,ns,60
Round One,,,,,13260144.0,ns,65
Round One,,,,,15495715.0,ns,70
Round One,,,,,18935794.0,ns,75
Round One,,,,,16226568.0,ns,80
Round One,,,,,17264645.0,ns,85
Round One,,,,,18249657.0,ns,90
Round One,,,,,19148980.0,ns,95
Round One,,,,,20125380.0,ns,100
Round One,,,,,21261139.0,ns,105
Round One,,,,,22207857.0,ns,110
Round One,,,,,25619240.0,ns,115
Round One,,,,,24195615.0,ns,120
Round One,,,,,26446205.0,ns,125
Round One,,,,,26153758.0,ns,130
Round One,,,,,27150591.0,ns,135
Round One,,,,,28150444.0,ns,140
Round One,,,,,29156380.0,ns,145
Round One,,,,,30175484.0,ns,150
Round One,,,,,31150187.0,ns,155
Round One,,,,,32099941.0,ns,160
Round One,,,,,33459205.0,ns,165
Round One,,,,,34245408.0,ns,170
Round One,,,,,35149627.0,ns,175
Round One,,,,,36203953.0,ns,180
Round One,,,,,37254666.0,ns,185
Round One,,,,,38201142.0,ns,190
Round One,,,,,39387086.0,ns,195
Round One,,,,,40206844.0,ns,200
Round One,,,,,41231394.0,ns,205
Round One,,,,,42268678.0,ns,210
Round One,,,,,44404049.0,ns,215
Round One,,,,,46343661.0,ns,220
Round One,,,,,46594170.0,ns,225
Round One,,,,,46490684.0,ns,230
Round One,,,,,47462512.0,ns,235
Round One,,,,,48482357.0,ns,240
Round One,,,,,49413537.0,ns,245
Round One,,,,,50507583.0,ns,250
Round One,,,,,51624010.0,ns,255
Round One,,,,,52319935.0,ns,260
Round One,,,,,53379299.0,ns,265
Round One,,,,,55174741.0,ns,270
Round One,,,,,55499673.0,ns,275
Round One,,,,,56471800.0,ns,280
Round One,,,,,57400327.0,ns,285
Round One,,,,,58387845.0,ns,290
Round One,,,,,59605677.0,ns,295
Round One,,,,,60474480.0,ns,300
Round One,,,,,61522448.0,ns,305
Round One,,,,,62416132.0,ns,310
Round One,,,,,63424019.0,ns,315
Round One,,,,,67434688.0,ns,320
Round One,,,,,65276314.0,ns,325
Round One,,,,,66331698.0,ns,330
Round One,,,,,67970480.0,ns,335
Round One,,,,,68362712.0,ns,340
Round One,,,,,69370434.0,ns,345
Round One,,,,,70331655.0,ns,350
Round One,,,,,71332187.0,ns,355
Round One,,,,,72761940.0,ns,360
Round One,,,,,73591329.0,ns,365
Round One,,,,,74587658.0,ns,370
Round One,,,,,75516335.0,ns,375
Round One,,,,,76497215.0,ns,380
Round One,,,,,77410282.0,ns,385
Round One,,,,,78562323.0,ns,390
Round One,,,,,79572380.0,ns,395
Round One,,,,,80678186.0,ns,400
Round One,,,,,81943644.0,ns,405
Round One,,,,,84370175.0,ns,410
Round One,,,,,85673395.0,ns,415
Round One,,,,,84923434.0,ns,420
Round One,,,,,86450219.0,ns,425
Round One,,,,,86326159.0,ns,430
Round One,,,,,87858322.0,ns,435
Round One,,,,,95444799.0,ns,440
Round One,,,,,89174978.0,ns,445
Round One,,,,,90574507.0,ns,450
Round One,,,,,91348110.0,ns,455
Round One,,,,,93004610.0,ns,460
Round One,,,,,93484344.0,ns,465
Round One,,,,,95478916.0,ns,470
Round One,,,,,96572639.0,ns,475
Round One,,,,,97126100.0,ns,480
Round One,,,,,97620155.0,ns,485
Round One,,,,,98726710.0,ns,490
Round One,,,,,99474013.0,ns,495
Round One,,,,,100604273.0,ns,500
