group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Round Two,,,,,996879.0,ns,7467
Round Two,,,,,1980602.0,ns,14934
Round Two,,,,,2913844.0,ns,22401
Round Two,,,,,3911798.0,ns,29868
Round Two,,,,,4940125.0,ns,37335
Round Two,,,,,5917922.0,ns,44802
Round Two,,,,,6902978.0,ns,52269
Round Two,,,,,7770337.0,ns,59736
Round Two,,,,,8769032.0,ns,67203
Round Two,,,,,9820359.0,ns,74670
Round Two,,,,,10817682.0,ns,82137
Round Two,,,,,11773830.0,ns,89604
Round Two,,,,,12802670.0,ns,97071
Round Two,,,,,13883645.0,ns,104538
Round Two,,,,,14796671.0,ns,112005
Round Two,,,,,15740737.0,ns,119472
Round Two,,,,,16777600.0,ns,126939
Round Two,,,,,17878908.0,ns,134406
Round Two,,,,,18749377.0,ns,141873
Round Two,,,,,19847973.0,ns,149340
Round Two,,,,,20743038.0,ns,156807
Round Two,,,,,21592150.0,ns,164274
Round Two,,,,,22560026.0,ns,171741
Round Two,,,,,23577566.0,ns,179208
Round Two,,,,,24510646.0,ns,186675
Round Two,,,,,25757907.0,ns,194142
Round Two,,,,,26728092.0,ns,201609
Round Two,,,,,27748772.0,ns,209076
Round Two,,,,,28570330.0,ns,216543
Round Two,,,,,29856734.0,ns,224010
Round Two,,,,,30338097.0,ns,231477
Round Two,,,,,31387915.0,ns,238944
Round Two,,,,,33755839.0,ns,246411
Round Two,,,,,33531822.0,ns,253878
Round Two,,,,,34746777.0,ns,261345
Round Two,,,,,36083167.0,ns,268812
Round Two,,,,,36207546.0,ns,276279
Round Two,,,,,37453180.0,ns,283746
Round Two,,,,,38477951.0,ns,291213
Round Two,,,,,39608990.0,ns,298680
Round Two,,,,,40326042.0,ns,306147
Round Two,,,,,41594448.0,ns,313614
Round Two,,,,,42478859.0,ns,321081
Round Two,,,,,43355389.0,ns,328548
Round Two,,,,,44341922.0,ns,336015
Round Two,,,,,45130751.0,ns,343482
Round Two,,,,,46173999.0,ns,350949
Round Two,,,,,47190001.0,ns,358416
Round Two,,,,,48601097.0,ns,365883
Round Two,,,,,49436180.0,ns,373350
Round Two,,,,,50376657.0,ns,380817
Round Two,,,,,52021935.0,ns,388284
Round Two,,,,,52255315.0,ns,395751
Round Two,,,,,53469151.0,ns,403218
Round Two,,,,,54407377.0,ns,410685
Round Two,,,,,54967489.0,ns,418152
Round Two,,,,,56236123.0,ns,425619
Round Two,,,,,57363769.0,ns,433086
Round Two,,,,,58210513.0,ns,440553
Round Two,,,,,58896265.0,ns,448020
Round Two,,,,,61908189.0,ns,455487
Round Two,,,,,62795031.0,ns,462954
Round Two,,,,,62434251.0,ns,470421
Round Two,,,,,62612760.0,ns,477888
Round Two,,,,,64230992.0,ns,485355
Round Two,,,,,64780633.0,ns,492822
Round Two,,,,,66252635.0,ns,500289
Round Two,,,,,67137396.0,ns,507756
Round Two,,,,,68246308.0,ns,515223
Round Two,,,,,68888107.0,ns,522690
Round Two,,,,,70013107.0,ns,530157
Round Two,,,,,70807818.0,ns,537624
Round Two,,,,,72268642.0,ns,545091
Round Two,,,,,72614528.0,ns,552558
Round Two,,,,,73732640.0,ns,560025
Round Two,,,,,74579665.0,ns,567492
Round Two,,,,,75350022.0,ns,574959
Round Two,,,,,76513934.0,ns,582426
Round Two,,,,,77353142.0,ns,589893
Round Two,,,,,78855312.0,ns,597360
Round Two,,,,,79851818.0,ns,604827
Round Two,,,,,80514380.0,ns,612294
Round Two,,,,,81723695.0,ns,619761
Round Two,,,,,82770399.0,ns,627228
Round Two,,,,,83486166.0,ns,634695
Round Two,,,,,84435749.0,ns,642162
Round Two,,,,,85622585.0,ns,649629
Round Two,,,,,86640042.0,ns,657096
Round Two,,,,,87201017.0,ns,664563
Round Two,,,,,88175614.0,ns,672030
Round Two,,,,,89124231.0,ns,679497
Round Two,,,,,90240233.0,ns,686964
Round Two,,,,,91118359.0,ns,694431
Round Two,,,,,92238537.0,ns,701898
Round Two,,,,,93515217.0,ns,709365
Round Two,,,,,94374433.0,ns,716832
Round Two,,,,,95366484.0,ns,724299
Round Two,,,,,97546632.0,ns,731766
Round Two,,,,,98169364.0,ns,739233
Round Two,,,,,100081830.0,ns,746700
