group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Signature aggregation,,,,,1242878.0,ns,4
Signature aggregation,,,,,2488440.0,ns,8
Signature aggregation,,,,,3732345.0,ns,12
Signature aggregation,,,,,4959923.0,ns,16
Signature aggregation,,,,,6235709.0,ns,20
Signature aggregation,,,,,7468685.0,ns,24
Signature aggregation,,,,,8716668.0,ns,28
Signature aggregation,,,,,9942781.0,ns,32
Signature aggregation,,,,,11202197.0,ns,36
Signature aggregation,,,,,12436571.0,ns,40
Signature aggregation,,,,,13668197.0,ns,44
Signature aggregation,,,,,14929666.0,ns,48
Signature aggregation,,,,,16178874.0,ns,52
Signature aggregation,,,,,17429776.0,ns,56
Signature aggregation,,,,,18655356.0,ns,60
Signature aggregation,,,,,19922346.0,ns,64
Signature aggregation,,,,,21151683.0,ns,68
Signature aggregation,,,,,22382069.0,ns,72
Signature aggregation,,,,,23650997.0,ns,76
Signature aggregation,,,,,24824990.0,ns,80
Signature aggregation,,,,,26085104.0,ns,84
Signature aggregation,,,,,27351910.0,ns,88
Signature aggregation,,,,,28570909.0,ns,92
Signature aggregation,,,,,29871714.0,ns,96
Signature aggregation,,,,,31076009.0,ns,100
Signature aggregation,,,,,32351795.0,ns,104
Signature aggregation,,,,,33647126.0,ns,108
Signature aggregation,,,,,34815013.0,ns,112
Signature aggregation,,,,,36087769.0,ns,116
Signature aggregation,,,,,37285834.0,ns,120
Signature aggregation,,,,,38579913.0,ns,124
Signature aggregation,,,,,39823192.0,ns,128
Signature aggregation,,,,,41055194.0,ns,132
Signature aggregation,,,,,42280209.0,ns,136
Signature aggregation,,,,,43524065.0,ns,140
Signature aggregation,,,,,44759761.0,ns,144
Signature aggregation,,,,,46033919.0,ns,148
Signature aggregation,,,,,47276423.0,ns,152
Signature aggregation,,,,,48492364.0,ns,156
Signature aggregation,,,,,49870469.0,ns,160
Signature aggregation,,,,,50974610.0,ns,164
Signature aggregation,,,,,52231078.0,ns,168
Signature aggregation,,,,,53435442.0,ns,172
Signature aggregation,,,,,54718874.0,ns,176
Signature aggregation,,,,,55987359.0,ns,180
Signature aggregation,,,,,57190638.0,ns,184
Signature aggregation,,,,,58440565.0,ns,188
Signature aggregation,,,,,59660677.0,ns,192
Signature aggregation,,,,,60945842.0,ns,196
Signature aggregation,,,,,62157569.0,ns,200
Signature aggregation,,,,,63410244.0,ns,204
Signature aggregation,,,,,64679326.0,ns,208
Signature aggregation,,,,,76930640.0,ns,212
Signature aggregation,,,,,67235623.0,ns,216
Signature aggregation,,,,,68369043.0,ns,220
Signature aggregation,,,,,69664558.0,ns,224
Signature aggregation,,,,,74008181.0,ns,228
Signature aggregation,,,,,74249167.0,ns,232
Signature aggregation,,,,,76159861.0,ns,236
Signature aggregation,,,,,80081464.0,ns,240
Signature aggregation,,,,,81874592.0,ns,244
Signature aggregation,,,,,77333540.0,ns,248
Signature aggregation,,,,,78556122.0,ns,252
Signature aggregation,,,,,79766377.0,ns,256
Signature aggregation,,,,,82255234.0,ns,260
Signature aggregation,,,,,82404995.0,ns,264
Signature aggregation,,,,,83613612.0,ns,268
Signature aggregation,,,,,84869753.0,ns,272
Signature aggregation,,,,,86084785.0,ns,276
Signature aggregation,,,,,87466027.0,ns,280
Signature aggregation,,,,,89799184.0,ns,284
Signature aggregation,,,,,89949976.0,ns,288
Signature aggregation,,,,,91202926.0,ns,292
Signature aggregation,,,,,92466838.0,ns,296
Signature aggregation,,,,,93459617.0,ns,300
Signature aggregation,,,,,95092133.0,ns,304
Signature aggregation,,,,,95974956.0,ns,308
Signature aggregation,,,,,97136065.0,ns,312
Signature aggregation,,,,,98357786.0,ns,316
Signature aggregation,,,,,99557827.0,ns,320
Signature aggregation,,,,,100852176.0,ns,324
Signature aggregation,,,,,102154190.0,ns,328
Signature aggregation,,,,,103336840.0,ns,332
Signature aggregation,,,,,104647770.0,ns,336
Signature aggregation,,,,,106949992.0,ns,340
Signature aggregation,,,,,111624603.0,ns,344
Signature aggregation,,,,,108263702.0,ns,348
Signature aggregation,,,,,109467803.0,ns,352
Signature aggregation,,,,,110740321.0,ns,356
Signature aggregation,,,,,112261588.0,ns,360
Signature aggregation,,,,,113240669.0,ns,364
Signature aggregation,,,,,114465368.0,ns,368
Signature aggregation,,,,,115648719.0,ns,372
Signature aggregation,,,,,117061997.0,ns,376
Signature aggregation,,,,,118141402.0,ns,380
Signature aggregation,,,,,119621363.0,ns,384
Signature aggregation,,,,,120665436.0,ns,388
Signature aggregation,,,,,121910538.0,ns,392
Signature aggregation,,,,,123224832.0,ns,396
Signature aggregation,,,,,130708844.0,ns,400
