group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Signature verification,,,,,1007801.0,ns,22
Signature verification,,,,,2028466.0,ns,44
Signature verification,,,,,3027572.0,ns,66
Signature verification,,,,,4041032.0,ns,88
Signature verification,,,,,5043954.0,ns,110
Signature verification,,,,,6060849.0,ns,132
Signature verification,,,,,7919634.0,ns,154
Signature verification,,,,,8119204.0,ns,176
Signature verification,,,,,9103178.0,ns,198
Signature verification,,,,,10238645.0,ns,220
Signature verification,,,,,11115649.0,ns,242
Signature verification,,,,,12112785.0,ns,264
Signature verification,,,,,13125300.0,ns,286
Signature verification,,,,,14132074.0,ns,308
Signature verification,,,,,15146480.0,ns,330
Signature verification,,,,,16152116.0,ns,352
Signature verification,,,,,17250639.0,ns,374
Signature verification,,,,,18807140.0,ns,396
Signature verification,,,,,19305039.0,ns,418
Signature verification,,,,,20298720.0,ns,440
Signature verification,,,,,21220476.0,ns,462
Signature verification,,,,,22294918.0,ns,484
Signature verification,,,,,23275216.0,ns,506
Signature verification,,,,,24223195.0,ns,528
Signature verification,,,,,25245841.0,ns,550
Signature verification,,,,,27234326.0,ns,572
Signature verification,,,,,27675184.0,ns,594
Signature verification,,,,,28552719.0,ns,616
Signature verification,,,,,29325728.0,ns,638
Signature verification,,,,,30321553.0,ns,660
Signature verification,,,,,31335324.0,ns,682
Signature verification,,,,,32719161.0,ns,704
Signature verification,,,,,33398933.0,ns,726
Signature verification,,,,,34632440.0,ns,748
Signature verification,,,,,35641053.0,ns,770
Signature verification,,,,,36474722.0,ns,792
Signature verification,,,,,37454187.0,ns,814
Signature verification,,,,,38559837.0,ns,836
Signature verification,,,,,39876789.0,ns,858
Signature verification,,,,,41330969.0,ns,880
Signature verification,,,,,45913022.0,ns,902
Signature verification,,,,,43629631.0,ns,924
Signature verification,,,,,43409653.0,ns,946
Signature verification,,,,,44456952.0,ns,968
Signature verification,,,,,45410510.0,ns,990
Signature verification,,,,,46448578.0,ns,1012
Signature verification,,,,,47451838.0,ns,1034
Signature verification,,,,,48489204.0,ns,1056
Signature verification,,,,,49484634.0,ns,1078
Signature verification,,,,,50522569.0,ns,1100
Signature verification,,,,,51508494.0,ns,1122
Signature verification,,,,,52519864.0,ns,1144
Signature verification,,,,,53477115.0,ns,1166
Signature verification,,,,,54477928.0,ns,1188
Signature verification,,,,,55515689.0,ns,1210
Signature verification,,,,,56506396.0,ns,1232
Signature verification,,,,,57518866.0,ns,1254
Signature verification,,,,,58491774.0,ns,1276
Signature verification,,,,,59532913.0,ns,1298
Signature verification,,,,,60561323.0,ns,1320
Signature verification,,,,,61596608.0,ns,1342
Signature verification,,,,,62580842.0,ns,1364
Signature verification,,,,,63581045.0,ns,1386
Signature verification,,,,,64642070.0,ns,1408
Signature verification,,,,,65583821.0,ns,1430
Signature verification,,,,,66681118.0,ns,1452
Signature verification,,,,,67592050.0,ns,1474
Signature verification,,,,,68640072.0,ns,1496
Signature verification,,,,,69673730.0,ns,1518
Signature verification,,,,,70741834.0,ns,1540
Signature verification,,,,,71743591.0,ns,1562
Signature verification,,,,,72687310.0,ns,1584
Signature verification,,,,,73743466.0,ns,1606
Signature verification,,,,,74723146.0,ns,1628
Signature verification,,,,,75741531.0,ns,1650
Signature verification,,,,,76753738.0,ns,1672
Signature verification,,,,,77804965.0,ns,1694
Signature verification,,,,,79583672.0,ns,1716
Signature verification,,,,,81600346.0,ns,1738
Signature verification,,,,,80925450.0,ns,1760
Signature verification,,,,,81852480.0,ns,1782
Signature verification,,,,,82858258.0,ns,1804
Signature verification,,,,,83847627.0,ns,1826
Signature verification,,,,,84887201.0,ns,1848
Signature verification,,,,,85850922.0,ns,1870
Signature verification,,,,,86865569.0,ns,1892
Signature verification,,,,,87906649.0,ns,1914
Signature verification,,,,,88781970.0,ns,1936
Signature verification,,,,,90116868.0,ns,1958
Signature verification,,,,,91388391.0,ns,1980
Signature verification,,,,,92008149.0,ns,2002
Signature verification,,,,,92907972.0,ns,2024
Signature verification,,,,,93912849.0,ns,2046
Signature verification,,,,,94970623.0,ns,2068
Signature verification,,,,,95957485.0,ns,2090
Signature verification,,,,,96952608.0,ns,2112
Signature verification,,,,,98035502.0,ns,2134
Signature verification,,,,,99073109.0,ns,2156
Signature verification,,,,,99965365.0,ns,2178
Signature verification,,,,,101033305.0,ns,2200
