group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
generate_commitment_share_lists_1_pair_per_party,,,,,985147.0,ns,46
generate_commitment_share_lists_1_pair_per_party,,,,,1945676.0,ns,92
generate_commitment_share_lists_1_pair_per_party,,,,,2919630.0,ns,138
generate_commitment_share_lists_1_pair_per_party,,,,,3893218.0,ns,184
generate_commitment_share_lists_1_pair_per_party,,,,,4857004.0,ns,230
generate_commitment_share_lists_1_pair_per_party,,,,,5828297.0,ns,276
generate_commitment_share_lists_1_pair_per_party,,,,,6805704.0,ns,322
generate_commitment_share_lists_1_pair_per_party,,,,,7770730.0,ns,368
generate_commitment_share_lists_1_pair_per_party,,,,,8750330.0,ns,414
generate_commitment_share_lists_1_pair_per_party,,,,,9700476.0,ns,460
generate_commitment_share_lists_1_pair_per_party,,,,,10693769.0,ns,506
generate_commitment_share_lists_1_pair_per_party,,,,,11649645.0,ns,552
generate_commitment_share_lists_1_pair_per_party,,,,,12654684.0,ns,598
generate_commitment_share_lists_1_pair_per_party,,,,,13636951.0,ns,644
generate_commitment_share_lists_1_pair_per_party,,,,,14627093.0,ns,690
generate_commitment_share_lists_1_pair_per_party,,,,,15559007.0,ns,736
generate_commitment_share_lists_1_pair_per_party,,,,,16595145.0,ns,782
generate_commitment_share_lists_1_pair_per_party,,,,,17489184.0,ns,828
generate_commitment_share_lists_1_pair_per_party,,,,,18480550.0,ns,874
generate_commitment_share_lists_1_pair_per_party,,,,,19488581.0,ns,920
generate_commitment_share_lists_1_pair_per_party,,,,,20419259.0,ns,966
generate_commitment_share_lists_1_pair_per_party,,,,,21375492.0,ns,1012
generate_commitment_share_lists_1_pair_per_party,,,,,22339171.0,ns,1058
generate_commitment_share_lists_1_pair_per_party,,,,,23359371.0,ns,1104
generate_commitment_share_lists_1_pair_per_party,,,,,24380073.0,ns,1150
generate_commitment_share_lists_1_pair_per_party,,,,,25288204.0,ns,1196
generate_commitment_share_lists_1_pair_per_party,,,,,26204600.0,ns,1242
generate_commitment_share_lists_1_pair_per_party,,,,,27219592.0,ns,1288
generate_commitment_share_lists_1_pair_per_party,,,,,28266038.0,ns,1334
generate_commitment_share_lists_1_pair_per_party,,,,,29201241.0,ns,1380
generate_commitment_share_lists_1_pair_per_party,,,,,30097787.0,ns,1426
generate_commitment_share_lists_1_pair_per_party,,,,,31133555.0,ns,1472
generate_commitment_share_lists_1_pair_per_party,,,,,32383359.0,ns,1518
generate_commitment_share_lists_1_pair_per_party,,,,,33169382.0,ns,1564
generate_commitment_share_lists_1_pair_per_party,,,,,34374618.0,ns,1610
generate_commitment_share_lists_1_pair_per_party,,,,,35132954.0,ns,1656
generate_commitment_share_lists_1_pair_per_party,,,,,36531757.0,ns,1702
generate_commitment_share_lists_1_pair_per_party,,,,,37253358.0,ns,1748
generate_commitment_share_lists_1_pair_per_party,,,,,37823816.0,ns,1794
generate_commitment_share_lists_1_pair_per_party,,,,,39645556.0,ns,1840
generate_commitment_share_lists_1_pair_per_party,,,,,40094957.0,ns,1886
generate_commitment_share_lists_1_pair_per_party,,,,,40887565.0,ns,1932
generate_commitment_share_lists_1_pair_per_party,,,,,41884115.0,ns,1978
generate_commitment_share_lists_1_pair_per_party,,,,,42732143.0,ns,2024
generate_commitment_share_lists_1_pair_per_party,,,,,43926802.0,ns,2070
generate_commitment_share_lists_1_pair_per_party,,,,,44776765.0,ns,2116
generate_commitment_share_lists_1_pair_per_party,,,,,45706800.0,ns,2162
generate_commitment_share_lists_1_pair_per_party,,,,,49354891.0,ns,2208
generate_commitment_share_lists_1_pair_per_party,,,,,48233195.0,ns,2254
generate_commitment_share_lists_1_pair_per_party,,,,,48650601.0,ns,2300
generate_commitment_share_lists_1_pair_per_party,,,,,49584305.0,ns,2346
generate_commitment_share_lists_1_pair_per_party,,,,,50640820.0,ns,2392
generate_commitment_share_lists_1_pair_per_party,,,,,51589872.0,ns,2438
generate_commitment_share_lists_1_pair_per_party,,,,,52476208.0,ns,2484
generate_commitment_share_lists_1_pair_per_party,,,,,54059822.0,ns,2530
generate_commitment_share_lists_1_pair_per_party,,,,,54444419.0,ns,2576
generate_commitment_share_lists_1_pair_per_party,,,,,55384620.0,ns,2622
generate_commitment_share_lists_1_pair_per_party,,,,,56397089.0,ns,2668
generate_commitment_share_lists_1_pair_per_party,,,,,57368042.0,ns,2714
generate_commitment_share_lists_1_pair_per_party,,,,,58341292.0,ns,2760
generate_commitment_share_lists_1_pair_per_party,,,,,59323332.0,ns,2806
generate_commitment_share_lists_1_pair_per_party,,,,,60267623.0,ns,2852
generate_commitment_share_lists_1_pair_per_party,,,,,61379008.0,ns,2898
generate_commitment_share_lists_1_pair_per_party,,,,,62283375.0,ns,2944
generate_commitment_share_lists_1_pair_per_party,,,,,63283373.0,ns,2990
generate_commitment_share_lists_1_pair_per_party,,,,,64736772.0,ns,3036
generate_commitment_share_lists_1_pair_per_party,,,,,65118716.0,ns,3082
generate_commitment_share_lists_1_pair_per_party,,,,,66093889.0,ns,3128
generate_commitment_share_lists_1_pair_per_party,,,,,67860422.0,ns,3174
generate_commitment_share_lists_1_pair_per_party,,,,,68269924.0,ns,3220
generate_commitment_share_lists_1_pair_per_party,,,,,69598462.0,ns,3266
generate_commitment_share_lists_1_pair_per_party,,,,,70163208.0,ns,3312
generate_commitment_share_lists_1_pair_per_party,,,,,71014593.0,ns,3358
generate_commitment_share_lists_1_pair_per_party,,,,,80662446.0,ns,3404
generate_commitment_share_lists_1_pair_per_party,,,,,73997372.0,ns,3450
generate_commitment_share_lists_1_pair_per_party,,,,,73923379.0,ns,3496
generate_commitment_share_lists_1_pair_per_party,,,,,75463021.0,ns,3542
generate_commitment_share_lists_1_pair_per_party,,,,,76882495.0,ns,3588
generate_commitment_share_lists_1_pair_per_party,,,,,76892354.0,ns,3634
generate_commitment_share_lists_1_pair_per_party,,,,,77887610.0,ns,3680
generate_commitment_share_lists_1_pair_per_party,,,,,78643250.0,ns,3726
generate_commitment_share_lists_1_pair_per_party,,,,,79687176.0,ns,3772
generate_commitment_share_lists_1_pair_per_party,,,,,80705240.0,ns,3818
generate_commitment_share_lists_1_pair_per_party,,,,,81716033.0,ns,3864
generate_commitment_share_lists_1_pair_per_party,,,,,82649695.0,ns,3910
generate_commitment_share_lists_1_pair_per_party,,,,,83682888.0,ns,3956
generate_commitment_share_lists_1_pair_per_party,,,,,84584059.0,ns,4002
generate_commitment_share_lists_1_pair_per_party,,,,,85560186.0,ns,4048
generate_commitment_share_lists_1_pair_per_party,,,,,86496903.0,ns,4094
generate_commitment_share_lists_1_pair_per_party,,,,,87458977.0,ns,4140
generate_commitment_share_lists_1_pair_per_party,,,,,88409399.0,ns,4186
generate_commitment_share_lists_1_pair_per_party,,,,,89659827.0,ns,4232
generate_commitment_share_lists_1_pair_per_party,,,,,90439432.0,ns,4278
generate_commitment_share_lists_1_pair_per_party,,,,,91717171.0,ns,4324
generate_commitment_share_lists_1_pair_per_party,,,,,92333027.0,ns,4370
generate_commitment_share_lists_1_pair_per_party,,,,,93248389.0,ns,4416
generate_commitment_share_lists_1_pair_per_party,,,,,94300547.0,ns,4462
generate_commitment_share_lists_1_pair_per_party,,,,,95221431.0,ns,4508
generate_commitment_share_lists_1_pair_per_party,,,,,97416648.0,ns,4554
generate_commitment_share_lists_1_pair_per_party,,,,,97165011.0,ns,4600
